Version 1.1 Alarms RepoVersion 3.6.6
Name	Type	Edge	Description	CounterMax	TimeValue	StorVar1	StorVar2
AlSafe111_PWRP_1	Auto reset	Positive	11: Inverter micro safety DC bus over current					
AlSafe112_PWRP_1	Auto reset	Positive	12: Inverter micro safety HWF DC bus current					
AlSafe113_PWRP_1	Auto reset	Positive	13: Inverter micro safety DC bus voltage 					
AlSafe114_PWRP_1	Auto reset	Positive	14: Inverter micro safety HWF DC bus voltage					
AlSafe115_PWRP_1	Auto reset	Positive	15: Inverter micro safety input voltage					
AlSafe116_PWRP_1	Auto reset	Positive	16: Inverter micro safety HWF input voltage					
AlSafe201_PWRP_1	Auto reset	Positive	17: Inverter micro safety DC bus power alarm					
AlSafe202_PWRP_1	Auto reset	Positive	18: Inverter micro safety HWF power mismatch					
AlSafe203_PWRP_1	Auto reset	Positive	19: Inverter micro safety NTC over temperature					
AlSafe204_PWRP_1	Auto reset	Positive	20: Inverter micro safety NTC under temperature					
AlSafe205_PWRP_1	Auto reset	Positive	21: Inverter micro safety NTC fault					
AlSafe206_PWRP_1	Auto reset	Positive	22: Inverter micro safety HWF sync fault					
AlSafe207_PWRP_1	Auto reset	Positive	23: Inverter micro safety invalid parameter					
AlSafe208_PWRP_1	Auto reset	Positive	24: Inverter micro safety FW fault					
AlSafe209_PWRP_1	Auto reset	Positive	25: Inverter micro safety HW fault  					
AlSafe210_PWRP_1	Auto reset	Positive	26: Inverter micro safety - Reserved					
AlSafe211_PWRP_1	Auto reset	Positive	27: Inverter micro safety - Reserved					
AlSafe212_PWRP_1	Auto reset	Positive	28: Inverter micro safety - Reserved					
AlSafe213_PWRP_1	Auto reset	Positive	29: Inverter micro safety - Reserved					
AlSafe214_PWRP_1	Auto reset	Positive	30: Inverter micro safety - Reserved					
AlSafe215_PWRP_1	Auto reset	Positive	31: Inverter micro safety - Reserved					
AlSafe216_PWRP_1	Auto reset	Positive	32: Inverter micro safety - Reserved					
Al_InvOffline_PWRP_1	Auto reset	Positive	Offline inverter					
